geoid,black,native,asian,PI,other,multi,hispanic,nonwhite,white,total,pct_nonwhite,pct_white,race_source_abbreviation,link_to_detailed_sourcing
1.00E+13,80,0,0,0,3,0,31,114,71,185,61.62162162,38.37837838,tract,http://www.prisonersofthecensus.org/data/2010blocks/010010202002008/
1.00E+13,190,0,1,0,1,0,4,196,292,488,40.16393443,59.83606557,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010030105001039/
1.00E+13,11,1,0,0,0,0,0,12,26,38,31.57894737,68.42105263,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010030108001027/
1.00E+13,10,0,0,0,0,0,0,10,7,17,58.82352941,41.17647059,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010030112012050/
1.00E+13,2,0,0,0,0,0,0,2,2,4,50,50,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010030114073034/
1.00E+13,300,1,0,0,0,0,1,302,203,505,59.8019802,40.1980198,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010030109033013/
1.01E+13,966,0,0,0,0,1,6,973,653,1626,59.8400984,40.1599016,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010059502002082/
1.01E+13,43,0,0,0,0,0,0,43,55,98,43.87755102,56.12244898,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010059502002091/
1.01E+13,785,0,0,0,0,39,17,841,492,1333,63.09077269,36.90922731,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010059504002044/
1.01E+13,1357,0,0,0,2,6,54,1419,595,2014,70.45680238,29.54319762,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010070100044013/
1.01E+13,6,0,0,0,1,0,5,12,118,130,9.230769231,90.76923077,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010090501011039/
1.01E+13,1,0,0,0,0,0,0,1,0,1,100,0,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010119522003043/
1.01E+13,32,0,0,0,0,0,0,32,0,32,100,0,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010119522003076/
1.01E+13,882,0,0,0,0,6,4,892,605,1497,59.58583834,40.41416166,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010119522001066/
1.01E+13,27,0,0,0,0,1,0,28,10,38,73.68421053,26.31578947,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010139531001000/
1.02E+13,162,0,5,0,0,0,14,181,228,409,44.25427873,55.74572127,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010150006001058/
1.02E+13,30,0,0,0,0,0,0,30,20,50,60,40,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010150008001014/
1.02E+13,2,0,0,0,0,0,0,2,6,8,25,75,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010150012012050/
1.02E+13,0,0,0,0,0,0,0,0,2,2,0,100,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010150022003003/
1.02E+13,62,0,0,0,0,0,1,63,74,137,45.98540146,54.01459854,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010179540004002/
1.02E+13,9,0,0,0,0,0,0,9,71,80,11.25,88.75,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010199560002036/
1.02E+13,51,0,0,0,1,0,44,96,83,179,53.63128492,46.36871508,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010210601014007/
1.02E+13,22,1,0,0,0,0,0,23,11,34,67.64705882,32.35294118,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010239568003028/
1.02E+13,0,0,0,0,0,0,0,0,2,2,0,100,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010239567002006/
1.03E+13,41,0,0,0,0,2,0,43,57,100,43,57,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010259578006003/
1.03E+13,24,0,0,0,1,0,3,28,49,77,36.36363636,63.63636364,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010279590003007/
1.03E+13,9,0,0,0,1,1,5,16,76,92,17.39130435,82.60869565,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010299596003003/
1.03E+13,138,1,0,0,0,1,2,142,100,242,58.67768595,41.32231405,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010310105001002/
1.03E+13,30,0,0,0,0,0,14,44,45,89,49.43820225,50.56179775,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010330205003033/
1.04E+13,19,0,0,0,0,0,0,19,26,45,42.22222222,57.77777778,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010359605002020/
1.04E+13,40,0,0,0,0,0,1,41,39,80,51.25,48.75,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010379612001019/
1.04E+13,58,0,0,0,0,0,1,59,113,172,34.30232558,65.69767442,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010399621002029/
1.04E+13,14,0,0,0,9,1,13,37,199,236,15.6779661,84.3220339,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010439650003020/
1.04E+13,0,0,0,0,14,1,27,42,32,74,56.75675676,43.24324324,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010439649002022/
1.04E+13,0,0,0,0,0,0,0,0,3,3,0,100,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010439654022063/
1.05E+13,4,0,0,0,0,0,0,4,5,9,44.44444444,55.55555556,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010450211022010/
1.05E+13,33,0,0,0,0,0,3,36,27,63,57.14285714,42.85714286,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010450207004001/
1.05E+13,19,0,0,0,0,0,16,35,163,198,17.67676768,82.32323232,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010499609003022/
1.05E+13,0,0,0,0,0,0,0,0,2,2,0,100,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010499611001081/
1.05E+13,0,0,0,0,0,1,0,1,3,4,25,75,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010499614001064/
1.05E+13,382,0,0,0,0,32,163,577,799,1376,41.93313953,58.06686047,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010510301004084/
1.05E+13,1621,0,1,0,2,10,8,1642,763,2405,68.27442827,31.72557173,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010510301004090/
1.05E+13,199,0,0,0,0,0,0,199,100,299,66.55518395,33.44481605,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010510309011013/
1.05E+13,306,8,1,0,0,11,15,341,377,718,47.49303621,52.50696379,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010510306001015/
1.05E+13,96,1,0,0,0,4,2,103,138,241,42.73858921,57.26141079,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/010510306002079/
1.05E+13,79,0,0,0,0,0,6,85,78,163,52.14723926,47.85276074,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/010539702002036/
