name,full_name ,Area (Land),Area (Water),FIPS,Total population,non_hispanic,non_hispanic_white,non_hispanic_black,non_hispanic_native,non_hispanic_asian,non_hispanic_PI,non_hispanic_other,non_hispanic_multi,hispanic_total,hispanic_white,hispanic_black,hispanic_native,hispanic_asian,hispanic_PI,hispanic_other,hispanic_multi,percent_non_hispanic,percent_non_hispanic_white,percent_non_hispanic_black,percent_non_hispanic_native,percent_non_hispanic_asian,percent_non_hispanic_PI,percent_non_hispanic_other,percent_non_hispanic_multi,percent_total_hispanic,percent_hispanic_white,percent_hispanic_black,percent_hispanic_native,percent_hispanic_asian,percent_hispanic_PI,percent_hispanic_other,percent_hispanic_multi,percent_nonwhite
Autauga County,"Autauga County, Alabama",1539582278,25775735,01001,54571,53261,42154,9595,217,467,22,45,761,1310,701,48,15,7,10,421,108,97.6,77.25,17.58,0.4,0.86,0.04,0.08,1.39,2.4,1.28,0.09,0.03,0.01,0.02,0.77,0.2,22.75
Baldwin County,"Baldwin County, Alabama",4117521611,1133190229,01003,182265,174273,152200,16966,1146,1340,79,245,2297,7992,3953,139,70,8,10,3386,426,95.62,83.5,9.31,0.63,0.74,0.04,0.13,1.26,4.38,2.17,0.08,0.04,0,0.01,1.86,0.23,16.5
Barbour County,"Barbour County, Alabama",2291818968,50864716,01005,27457,26070,12837,12820,60,107,24,13,209,1387,343,55,54,0,5,881,49,94.95,46.75,46.69,0.22,0.39,0.09,0.05,0.76,5.05,1.25,0.2,0.2,0,0.02,3.21,0.18,53.25
Bibb County,"Bibb County, Alabama",1612480789,9289057,01007,22915,22509,17191,5024,64,22,7,20,181,406,190,23,0,0,6,165,22,98.23,75.02,21.92,0.28,0.1,0.03,0.09,0.79,1.77,0.83,0.1,0,0,0.03,0.72,0.1,24.98
Blount County,"Blount County, Alabama",1669961855,15157440,01009,57322,52696,50952,724,285,115,18,35,567,4626,2116,37,22,2,20,2312,117,91.93,88.89,1.26,0.5,0.2,0.03,0.06,0.99,8.07,3.69,0.06,0.04,0,0.03,4.03,0.2,11.11
Bullock County,"Bullock County, Alabama",1613056905,6056528,01011,10914,10137,2392,7637,20,20,4,5,59,777,115,29,3,0,39,564,27,92.88,21.92,69.97,0.18,0.18,0.04,0.05,0.54,7.12,1.05,0.27,0.03,0,0.36,5.17,0.25,78.08
Butler County,"Butler County, Alabama",2011976894,2726814,01013,20947,20756,11324,9047,59,174,7,3,142,191,75,48,1,3,0,45,19,99.09,54.06,43.19,0.28,0.83,0.03,0.01,0.68,0.91,0.36,0.23,0,0.01,0,0.21,0.09,45.94
Calhoun County,"Calhoun County, Alabama",1569189995,16624267,01015,118572,114679,87285,24177,480,830,94,109,1704,3893,1555,205,60,15,2,1785,271,96.72,73.61,20.39,0.4,0.7,0.08,0.09,1.44,3.28,1.31,0.17,0.05,0.01,0,1.51,0.23,26.39
Chambers County,"Chambers County, Alabama",1545009282,17048142,01017,34215,33679,19893,13206,57,166,7,23,327,536,219,51,12,2,3,191,58,98.43,58.14,38.6,0.17,0.49,0.02,0.07,0.96,1.57,0.64,0.15,0.04,0.01,0.01,0.56,0.17,41.86
Cherokee County,"Cherokee County, Alabama",1434075952,119858898,01019,25989,25669,23929,1206,122,49,1,15,347,320,152,2,13,5,0,108,40,98.77,92.07,4.64,0.47,0.19,0,0.06,1.34,1.23,0.58,0.01,0.05,0.02,0,0.42,0.15,7.93
